topic	word	if_reasonable_yijing
election_campaign	lock her up	1.0
economy	fix the economy	2.0
civil_rights	nothing to lose	2.0
sstc	between two ferns	2.0
immigration	work with them	1.0
election_campaign	fired campaign manager	2.0
civil_rights	black lives matter	2.0
foreign_trade	renegotiate trade deals	2.0
election_campaign	between two ferns	2.0
immigration	new immigration policy	2.0
intl_affairs	middle east	2.0
intl_affairs	russian hack	2.0
sstc	media bias	2.0
immigration	open borders	2.0
intl_affairs	russian president	2.0
foreign_trade	free trade	2.0
foreign_trade	trade deficit	2.0
economy	save jobs	2.0
election_campaign	reaching out	2.0
economy	wall street	1.0
immigration	immigration ban	2.0
election_campaign	paul manafort	2.0
immigration	flip-flop	1.0
immigration	mexican president	1.0
election_campaign	presidential debate	2.0
immigration	border wall	2.0
election_campaign	running mate	2.0
election_campaign	shake-up	2.0
election_campaign	st louis	2.0
crime	stop & frisk	2.0
election_campaign	first debate	2.0
election_campaign	ted cruz	2.0
election_campaign	vice president	2.0
election_campaign	young women	1.0
intl_affairs	america first	2.0
sstc	liberal media	2.0
immigration	immigration stance	2.0
economy	higher taxes	2.0
social_welfare	child care	2.0
economy	better deals	2.0
defence	purple heart	2.0
civil_rights	anti-semite	2.0
civil_rights	hispanic vote	2.0
civil_rights	bear arms	2.0
religion	muslim family	2.0
foreign_trade	trade deals	2.0
defence	secret plan	1.0
civil_rights	black community	2.0
civil_rights	black vote	2.0
intl_affairs	mexican president	2.0
civil_rights	reaching out	1.0
labour	save jobs	2.0
religion	radical islam	2.0
foreign_trade	america first	1.0
religion	purple heart	2.0
sstc	new yorker	1.0
labour	create jobs	2.0
economy	create jobs	2.0
economy	lower taxes	2.0
civil_rights	minority outreach	2.0
economy	economic policy	2.0
healthcare	dr. oz	2.0
economy	middle class	2.0
election_campaign	wall street	1.0
economy	hedge fund	1.0
intl_affairs	ally	1.0
intl_affairs	benghazi	2.0
intl_affairs	brazil	2.0
intl_affairs	australia	2.0
intl_affairs	ambassador	2.0
labour	paycheck	2.0
labour	jobless	2.0
labour	livelihood	2.0
intl_affairs	beijing	2.0
intl_affairs	asia	2.0
labour	labor	2.0
labour	salary	2.0
intl_affairs	allies	1.0
intl_affairs	african	2.0
labour	workforce	2.0
labour	worker	2.0
immigration	mexican	1.0
labour	work	2.0
labour	wage	2.0
immigration	mexicans	1.0
immigration	mexico	1.0
labour	union	2.0
labour	unemployment	2.0
labour	unemployed	2.0
immigration	rapists	2.0
immigration	refugees	2.0
labour	strike	2.0
immigration	secure	1.0
immigration	softening	2.0
labour	staff	2.0
immigration	wall	1.0
labour	profession	2.0
labour	ppp	2.0
labour	payroll	2.0
intl_affairs	africa	2.0
intl_affairs	brexit	2.0
intl_affairs	treaties	2.0
labour	job	2.0
intl_affairs	britain	2.0
intl_affairs	japan	2.0
intl_affairs	jong	2.0
intl_affairs	kim	1.0
intl_affairs	kong	2.0
intl_affairs	korea	2.0
immigration	latino	1.0
intl_affairs	korean	2.0
intl_affairs	libya	2.0
intl_affairs	mexico	2.0
intl_affairs	nato	2.0
intl_affairs	paris	2.0
intl_affairs	putin	2.0
intl_affairs	russia	2.0
intl_affairs	war	1.0
intl_affairs	russian	2.0
intl_affairs	vietnam	2.0
intl_affairs	uk	2.0
intl_affairs	scotland	2.0
intl_affairs	singapore	2.0
intl_affairs	spain	2.0
intl_affairs	superpower	2.0
intl_affairs	treaty	2.0
intl_affairs	sweden	2.0
intl_affairs	syria	2.0
